Period,Primary_Industry,Goods-producing industries,Service industries,"Agriculture, Forestry and Fishing",Mining,Manufacturing,"Electricity, Gas, Water and Waste Services",Construction,Wholesale Trade,Retail Trade,Accommodation and Food Services,"Transport, Postal and Warehousing",Information Media and Telecommunications,Financial and Insurance Services,"Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services",Administrative and Support Services,Public Administration and Safety,Arts and Recreation Services,Other Services
2019-05-01,309839,1236421,4950473,96007,238502,232878,19016,171566,112355,204776,146901,93421,32985,62940,34062,169464,111136,133655,40709,71800
2019-06-01,305833,1235296,4945864,92219,233050,227383,19053,171815,111690,204673,144688,96036,31368,62836,33968,169097,105300,135172,41343,72078
2019-07-01,306471,1235365,4948206,92710,231264,225474,19217,171966,111124,204796,144510,95614,31232,63008,34127,168465,100245,136117,41667,72182
2019-08-01,305536,1235864,4955067,93407,232961,227200,19296,171748,110744,204963,145570,92442,32614,63218,33603,168916,100255,134942,41709,72005
2019-09-01,306734,1240464,4978518,94106,231828,226052,19423,172541,110190,205656,147165,95911,31490,63295,33981,166432,100575,137651,41736,72778
2019-10-01,309181,1246771,4986618,97250,235818,230193,19492,173868,111962,208170,148988,93824,32515,61343,34877,167921,100381,137217,42295,72672
2019-11-01,319619,1256434,5031831,105864,240693,235073,19659,175956,114064,212947,153210,95223,32243,61453,35647,170455,103510,138621,43048,73553
2019-12-01,326281,1260222,5058483,112040,243723,238109,19760,176266,114675,219592,154641,95558,32076,61617,36188,171211,103044,139939,43763,73853
2020-01-01,323321,1253009,5013764,108667,240403,234708,19785,172636,112848,212380,149894,94021,31812,61470,35494,168783,98014,139033,41787,72007
2020-02-01,320834,1264240,5049901,106052,242769,237359,20175,177120,113300,209960,152502,94466,32130,61955,35892,171509,102987,141290,43054,73624
2020-03-01,319877,1265477,5045350,103340,241686,235866,19724,178002,113712,208036,150439,94214,31854,61887,35703,171416,107313,140672,41818,74028
2020-04-01,205837,834547,3314485,98787,237830,232510,19964,176480,111560,207248,145285,91471,31013,62417,34429,168404,107976,139912,39789,71914
2020-05-01,211017,843635,3331102,99875,238327,232974,20060,180117,111381,208654,146918,92514,30521,62348,34813,168920,111779,140267,39338,73185
2020-06-01,211723,845652,3335960,98225,237320,232006,20153,180994,110890,207912,147447,91187,31093,62691,34921,169396,105700,141408,40135,73867
2020-07-01,210231,843199,3317964,97621,235134,229818,20259,180387,110423,206181,146567,88031,31116,62646,34459,169150,99088,142725,41249,73705
2020-08-01,212582,838028,3319796,99639,230756,225293,20322,180621,109708,205226,144737,88206,30554,62855,34277,169214,97893,143995,40824,74112
2020-09-01,211002,837148,3319579,99085,229824,224521,20405,180825,109485,205082,141506,86586,30724,63851,34249,169399,96108,149245,39323,74132
2020-10-01,214158,838405,3347544,102421,231032,225744,20446,181487,109667,206622,143411,86416,30577,63472,34585,169522,96914,163213,39982,74505
2020-11-01,221338,846392,3341392,109371,236086,230711,20538,183586,110821,211368,144575,88229,30481,63841,34887,171778,97922,147148,40447,75351
2020-12-01,229477,855384,3372127,116468,240788,235330,20810,184990,112243,217939,146941,89330,30388,65262,35486,173198,97431,146031,41058,76167
2021-01-01,221819,849743,3318502,110698,237061,231654,20830,182624,110606,211247,143237,84823,30297,63783,35171,171023,91913,145012,39313,74363
2021-02-01,219965,859937,3345217,107482,237798,232312,20924,187146,111819,208117,144440,87287,34582,64341,35490,173429,95069,144008,39872,75846
2021-03-01,217686,861456,3366689,105221,237328,231778,20745,187930,112395,206924,144263,87859,31708,64467,35682,174338,102298,147450,40012,76297
2021-04-01,213218,864217,3381255,101950,237860,470202,20805,189032,112206,207052,144437,88166,31539,64098,35849,176899,105471,147118,39717,76164
2021-05-01,210684,867630,3393027,99379,236807,468235,20858,191134,112106,207214,145757,87984,31699,64164,35927,178199,105438,146413,39672,76855
2021-06-01,208505,872486,3414684,96369,237352,469240,21069,192112,112506,208768,146744,88116,31668,65044,36841,179118,103878,146929,40944,77302
2021-07-01,208901,876125,3417533,96780,237492,469535,21038,192411,112973,208615,147389,87587,31741,66505,36510,180577,99097,146995,41857,77593
2021-08-01,210642,875084,3438058,98502,234047,462672,21067,193113,112687,210241,150959,87889,31324,65757,36170,180776,99387,148036,42010,78010
2021-09-01,211816,877244,3440828,99248,233621,461747,21082,194480,112289,210899,151016,87582,29864,66143,36006,181850,99422,149659,41776,78240
2021-10-01,216669,883805,3451827,103410,235870,466192,21153,196937,113407,213430,150868,88692,30327,66764,36600,183534,101440,150668,40599,78723
2021-11-01,221036,892191,3478578,109016,239971,474433,21399,199559,114817,221629,152237,90268,30758,67317,37105,185965,103569,152239,39680,79514
2021-12-01,224170,898035,3488074,113487,243708,481840,21646,200201,116116,227725,151729,90883,31133,67693,37450,187367,103983,153223,39571,79834
2022-01-01,220586,890577,3455967,109679,239722,473928,21693,196741,113939,219580,145416,89415,30720,67090,36612,185788,97861,151569,38063,77721
2022-02-01,216873,898994,3452952,105990,243428,481336,21685,200776,114499,215830,143997,88877,30977,67700,36903,189014,101002,152930,38107,78626
2022-03-01,215091,897593,3448487,104304,241956,478344,21666,200768,114755,213430,140426,89242,30850,68129,36911,189191,105498,152901,37653,78689
2022-04-01,214641,898304,3466061,102556,241355,477078,21974,201280,115827,213709,140999,89806,31056,68414,37071,191075,109360,152315,37727,78682
2022-05-01,213291,897057,3470726,100891,239801,473939,22512,201076,115801,213337,143026,89891,31648,68150,37233,191558,109206,151358,37926,79105
2022-06-01,209935,898375,3483095,97057,239917,474196,22535,200943,115786,213570,145073,91242,31733,68336,37208,190242,105583,151788,39602,79598
2022-07-01,208746,901737,3488875,96495,240325,475061,22532,201679,116331,215021,145770,91365,31977,68722,37061,190379,102326,151139,40989,79808
2022-08-01,210325,899773,3504869,97941,238540,471495,21985,201142,115878,215015,148522,92005,32158,69018,37035,191278,102100,152869,41483,79856
2022-09-01,210506,899787,3518075,98144,238018,470429,22093,201342,116501,215611,150592,91288,32700,69007,37195,192300,102224,152742,41725,79743
2022-10-01,212131,906126,3529152,100593,239971,474264,22233,204112,117287,218030,152934,92388,32593,69398,37838,192708,102704,153635,41794,79734
2022-11-01,216470,912367,3552970,106069,244370,482981,22701,205244,118104,224490,155648,93647,32610,69965,38304,194301,105092,154905,41546,80272
2022-12-01,216825,906257,3550376,108933,246467,487131,22614,201880,118111,227122,154665,93694,32635,69941,38490,193512,105100,155997,41204,79746
2023-01-01,215904,906433,3531092,106557,244579,483413,22972,200393,117306,221799,152579,93355,32524,69706,37852,192265,100804,154829,40134,78600
2023-02-01,105836,458968,1776719,100839,246952,488119,23195,204332,117867,218817,156239,94401,32859,70578,37536,194509,105250,157052,40633,79694
